Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
1_22,Khách Sạn Apollo Nha Trang (Apollo Hotel Nha Trang),3 sao trên 5,"64/10 Tran Phu, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.0,8.8,8.1,8.2,7.5,8.1,8.299999999999999
1_23,Holi Panorama Nha Trang,4 sao trên 5,"02 Nguyen Thi Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.3,9.3,8.2,8.1,8.1,8.4,8.299999999999999
1_24,Khu nghỉ dưỡng Alma Cam Ranh (Alma Resort Cam Ranh),5 sao trên 5,"Resort Area In The North Of Cam Ranh Peninsula, Cam Hai Dong Commune, Cam Lam District, Khanh Hoa Province, Vietnam, Cam Hải Đông, Nha Trang, Việt Nam, 650000",8.9,8.6,9.2,9.2,9.2,9.2,8.299999999999999
1_25,Khách sạn Marilyn Boutique Nha Trang (Marilyn Boutique Hotel Nha Trang),3 sao trên 5,"51 Duong Hien Quyen, Vĩnh Hòa, Nha Trang, Việt Nam, 650000",9.1,9.0,9.6,9.5,9.2,9.5,8.299999999999999
1_26,khách sạn phố ngọc,3 sao trên 5,"252 Dã Tượng, khách sạn Phố Ngọc, Vĩnh Nguyên, Nha Trang, Việt Nam",8.6,8.6,8.7,8.8,8.5,8.9,8.299999999999999
1_27,Khách Sạn Smile (Smile Hotel),,"45/1 Hung Vuong, Loc Tho, Lộc Thọ, Nha Trang, Việt Nam",8.4,8.9,8.5,8.7,8.1,8.7,8.299999999999999
1_28,Khách Sạn Regalia Gold (Regalia Gold Hotel),5 sao trên 5,"39 - 41 Nguyen Thi Minh Khai Street, Tân Lập, Nha Trang, Việt Nam, 650000",9.1,9.7,9.2,9.2,9.1,9.4,8.299999999999999
1_29,Khách sạn Paris Nha Trang (Paris Nha Trang Hotel and Apartment),4 sao trên 5,"96B1/6 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.1,8.2,8.3,8.3,7.7,8.2,8.6
1_30,Areca Hotel Nha Trang,4 sao trên 5,"46A đường Ho&#224;ng Văn Thụ, phường Vạn Thạnh, Tp. Nha Trang, Tỉnh Kh&#225;nh H&#242;a, Xương Huân, Nha Trang, Việt Nam, 650000",8.9,9.0,9.2,9.1,8.9,9.2,8.299999999999999
2_1,Khách sạn New Sun Nha Trang (New Sun Hotel Nha Trang),3 sao trên 5,"2/3 Hùng Vương, Nha Trang, Lộc Thọ, Nha Trang, Việt Nam",8.4,8.8,8.6,8.7,8.0,8.6,6.0
2_2,Muong Thanh Grand Nha Trang Hotel,4 sao trên 5,"Số 6 Dương Hiến Quyền, Vĩnh Hòa, Vĩnh Hòa, Nha Trang, Việt Nam",8.6,8.0,8.9,9.0,8.8,8.8,7.8
2_3,ELITE HOTEL NHA TRANG,4 sao trên 5,"50 Đ. Củ Chi, Vĩnh Hải, ELite Hotel Nha Trang, Vĩnh Hải, Nha Trang, Việt Nam, 650000",9.7,9.4,9.9,9.9,9.6,9.9,8.299999999999999
2_4,Khu nghỉ dưỡng Amiana Nha Trang (Amiana Resort Nha Trang),5 sao trên 5,"Nha Trang Bay, Phạm Văn Đồng , Vĩnh Hòa, Nha Trang, Việt Nam, 650000",9.0,8.6,9.3,9.3,9.3,9.2,9.2
